keys,en,fr,de,it,es,pt
TIP_LOAD_GRADIENT,List custom gradients and presets,,,,,
TIP_SAVE_GRADIENT,Save the current gradient,,,,,
PROP_DURATION,Duration,Durée,Dauer,Durata,Duración,Duração
PROP_AMOUNT,Amount,Montant,Menge,Quantità,Cantidad,Montante
PROP_GRAVITY,Gravity,La gravité,Schwere,Gravità,Gravedad,Gravidade
PROP_SPREAD,Spread,Propager,Verbreitung,Diffusione,Untado,Espalhar
PROP_MOTION_TYPE,Motion Type,Type de mouvement,Bewegungsart,Tipo di movimento,Tipo de movimiento,Tipo de movimento
PROP_SIN_FREQ,Sin Frequency,Fréquence de péché,Sin-Frequenz,Sin frequenza,Sin Frecuencia,Freqüência do Pecado
PROP_COS_FREQ,Cos Frequency,Fréquence Cos,Cos Frequenz,Frequenza Cos,Frecuencia Cos,Cos Frequency
PROP_SIN_AMP,Sin Amplitude,Sin Amplitude,Sünde Amplitude,Sin Ampiezza,Sin amplitud,Amplitude do Pecado
PROP_COS_AMP,Cos Amplitude,Cos Amplitude,Cos Amplitude,Cos ampiezza,Cos Amplitude,Cos Amplitude
PROP_PARTICLE_TEX,Particle Texture,Texture de particules,Partikel-Textur,Trama di particelle,Textura de partícula,Textura de partícula
PROP_POSITION,Position,Position,Position,Posizione,Posición,Posição
TIP_POSITION,The position of the emitter relative to the center of the canvas,La position de l'émetteur par rapport au centre de la toile,Die Position des Emitters relativ zur Mitte der Leinwand,La posizione dell'emettitore rispetto al centro della tela,La posición del emisor con relación al centro del lienzo,A posição do emissor em relação ao centro da tela
PROP_RAND_SEED,Random Seed,Graine Aléatoire,Zufallssamen,Seme casuale,Semilla aleatoria,Semente Aleatória
TIP_RAND_SEED,Random seed when using the Seamless Loop option,Graine aléatoire lors de l'utilisation de l'option Boucle sans couture,Random Seed bei Verwendung der Seamless Loop-Option,Sementi casuali quando si utilizza l'opzione Seamless Loop,Semilla aleatoria cuando se usa la opción Seamless Loop,Semente aleatória ao usar a opção Seamless Loop
TIP_DURATION,"The lifetime of the emitter in seconds. If repeat is disabled, the emitter will stop when this time is reached","La durée de vie de l'émetteur en secondes. Si la répétition est désactivée, l'émetteur s'arrêtera lorsque ce temps sera atteint","Die Lebensdauer des Senders in Sekunden. Wenn die Wiederholung deaktiviert ist, stoppt der Sender, wenn diese Zeit erreicht ist","La vita dell'emettitore in pochi secondi. Se repeat è disabilitato, l'emettitore si arresterà al raggiungimento di questo tempo","La vida útil del emisor en segundos. Si la repetición está desactivada, el emisor se detendrá cuando se alcance este tiempo","A vida do emissor em segundos. Se a repetição estiver desativada, o emissor parará quando esse tempo for atingido"
PROP_TIME_SCALE,Timescale,Échelle de temps,Zeitstrahl,Orizzonte temporale,Escala de tiempo,Escala de tempo
TIP_SPEED_SCALE,"The time scale of the emitter.
1.0 is normal speed.
Lower values will result in a slower simulation, higher values will result in a faster simulation","L'échelle de temps de l'émetteur.
1,0 est la vitesse normale.
Des valeurs plus faibles entraîneront une simulation plus lente, des valeurs plus élevées entraîneront une simulation plus rapide ","Die Zeitskala des Senders.
1.0 ist normale Geschwindigkeit.
Niedrigere Werte führen zu einer langsameren Simulation, höhere Werte führen zu einer schnelleren Simulation ","La scala temporale dell'emettitore.
1.0 è la velocità normale.
Valori più bassi si traducono in una simulazione più lenta, valori più alti risulteranno in una simulazione più veloce ","La escala de tiempo del emisor.
1.0 es la velocidad normal.
Los valores más bajos darán como resultado una simulación más lenta, valores más altos darán como resultado una simulación más rápida .","A escala de tempo do emissor.
1,0 é a velocidade normal.
Valores mais baixos resultarão em uma simulação mais lenta, valores mais altos resultarão em uma simulação mais rápida "
TIP_AMOUNT,"Amount of particles to create.
Creation of particles is spread out over time according to particle lifetime so that 
there is always a consistent flow to maintain the amount","Quantité de particules à créer.
La création de particules est étalée dans le temps en fonction de la durée de vie des particules, de sorte que 
il y a toujours un flux constant pour maintenir le montant ","Anzahl der zu erstellenden Partikel.
Die Erzeugung von Partikeln verteilt sich im Laufe der Zeit entsprechend der Lebensdauer der Partikel 
es gibt immer einen gleichmäßigen Fluss, um die Menge zu erhalten ","Quantità di particelle da creare.
La creazione di particelle è distribuita nel tempo in base alla durata della particella in modo tale 
c'è sempre un flusso consistente per mantenere l'importo ","Cantidad de partículas para crear.
La creación de partículas se extiende a lo largo del tiempo de acuerdo con la vida útil de la partícula para que 
siempre hay un flujo constante para mantener la cantidad ","Quantidade de partículas para criar.
A criação de partículas é distribuída ao longo do tempo de acordo com a vida útil das partículas, de modo que 
há sempre um fluxo consistente para manter a quantidade "
PROP_PREPROCESS,Preprocess,Pré-traitement,Vorverarbeitung,preprocess,Preproceso,Pré-processar
TIP_PREPROCESS,The emitter will start as if it had already been running for this many seconds,L'émetteur démarrera comme s'il avait déjà fonctionné pendant plusieurs secondes,"Der Sender wird starten, als wäre er bereits seit vielen Sekunden in Betrieb",L'emettitore verrà avviato come se fosse già in esecuzione per molti secondi,El emisor comenzará como si ya hubiera estado funcionando durante tantos segundos,O emissor começará como se já estivesse funcionando por tantos segundos
PROP_DELAY,Delay,Retard,Verzögern,Ritardo,Retrasar,Demora
TIP_DELAY,"The delay in seconds before the emitter will start.
Only used when repeat is disabled","Le délai en secondes avant que l'émetteur ne démarre.
Utilisé uniquement lorsque la répétition est désactivée ","Die Verzögerung in Sekunden, bevor der Sender startet.
Wird nur verwendet, wenn die Wiederholung deaktiviert ist. ","Il ritardo in secondi prima dell'inizio dell'emettitore.
Usato solo quando la ripetizione è disabilitata ","La demora en segundos antes de que comience el emisor.
Solo se usa cuando la repetición está deshabilitada ","O atraso em segundos antes do emissor começar.
Utilizado apenas quando a repetição está desativada "
PROP_LIFETIME,Lifetime,Durée de vie,Lebenszeit,Tutta la vita,Toda la vida,Tempo de vida
TIP_LIFETIME,Lifetime of each particle in seconds,Durée de vie de chaque particule en secondes,Lebensdauer jedes Partikels in Sekunden,Durata di ogni particella in secondi,Vida útil de cada partícula en segundos,Tempo de vida de cada partícula em segundos
PROP_LIFE_RANDOM,Lifetime Rand,Rand à vie,Lebenslanger Rand,Rand a vita,Lifetime Rand,Rand da vida
TIP_LIFETIME_RANDOM,Randomness of each particle's lifetime,Caractère aléatoire de la durée de vie de chaque particule,Zufälligkeit der Lebensdauer jedes Partikels,Casualità della vita di ogni particella,Aleatoriedad de la vida útil de cada partícula,Aleatoriedade do tempo de vida de cada partícula
PROP_EXPLOSIVENESS,Burst,Éclater,Platzen,scoppiare,Ráfaga,Estourar
TIP_EXPLOSIVENESS,"How quickly the total amount of particles are created.
0 = particles created evenly over time
1 = all particles created instantly","Avec quelle rapidité la quantité totale de particules est créée.
0 = particules créées uniformément dans le temps
1 = toutes les particules créées instantanément ","Wie schnell wird die Gesamtmenge an Partikeln erzeugt?
0 = Partikel, die gleichmäßig über die Zeit erzeugt werden
1 = alle Partikel sofort erstellt ","Quanto velocemente viene creata la quantità totale di particelle.
0 = particelle create uniformemente nel tempo
1 = tutte le particelle create istantaneamente ","Qué tan rápido se crea la cantidad total de partículas.
0 = partículas creadas de manera uniforme en el tiempo
1 = todas las partículas creadas al instante ","Com que rapidez a quantidade total de partículas é criada.
0 = partículas criadas uniformemente ao longo do tempo
1 = todas as partículas criadas instantaneamente "
TIP_GRAVITY,A constant force applied to each particle. Not affected by damping,Une force constante appliquée à chaque particule. Non affecté par l'amortissement,"Eine konstante Kraft, die auf jedes Partikel angewendet wird. Nicht durch Dämpfung beeinflusst",Una forza costante applicata a ciascuna particella. Non influenzato dallo smorzamento,Una fuerza constante aplicada a cada partícula. No se ve afectado por la amortiguación,Uma força constante aplicada a cada partícula. Não afetado pelo amortecimento
PROP_EMITTER_ANGLE,Angle,Angle,Winkel,Angolo,Ángulo,Ângulo
TIP_EMITTER_ANGLE,Direction the particles will move when their velocity is greater than 0,Direction les particules se déplaceront lorsque leur vitesse est supérieure à 0,"Richtung bewegen sich die Partikel, wenn ihre Geschwindigkeit größer als 0 ist",Direzione le particelle si sposteranno quando la loro velocità è maggiore di 0,Dirección en que las partículas se moverán cuando su velocidad sea mayor que 0,Direção as partículas se moverão quando sua velocidade for maior que 0
TIP_SPREAD,"A random angle range a particle will travel in, based around the emitter direction","Une plage d'angle aléatoire dans laquelle une particule se déplace, basée sur la direction de l'émetteur","Ein zufälliger Winkelbereich, in dem sich ein Partikel befindet, basierend auf der Emitterrichtung","Un intervallo di angoli casuale in cui una particella viaggerà, in base alla direzione dell'emettitore","Un rango de ángulo aleatorio en el que se desplazará una partícula, en función de la dirección del emisor","Um intervalo de ângulo aleatório em que uma partícula vai viajar, com base em torno da direção do emissor"
PROP_SPAWN_OFFSET,Radial spawn offset,Offset radiale,Radialer Spawn-Offset,Offset di spawn radiale,Desplazamiento de spawn radial,Offset radial do spawn
TIP_SPAWN_OFFSET,Radial distance from the emitter where particles will be spawned,Distance radiale de l'émetteur où les particules seront générées,"Radialer Abstand vom Emitter, wo Partikel erzeugt werden",Distanza radiale dall'emettitore in cui verranno generate le particelle,Distancia radial desde el emisor donde se generarán partículas,Distância radial do emissor onde as partículas serão geradas
PROP_SPREAD_RANDOM,Spread Rand,Spread Rand,Spread Rand,Spread Rand,Spread Rand,Spread Rand
TIP_SPREAD_RANDOM,"Randomness of each particle's angle that it will travel in, within the spread value
0 = No randomness. The angular direction will increase for each particle (within the spread value), until the last particle, then it will start back at 0
1 = Full randomness. The angular direction will be chosen at random from within the spread value","Aléatoire de l'angle de chaque particule dans lequel il se déplacera, à l'intérieur de la valeur de propagation
0 = pas de caractère aléatoire La direction angulaire augmentera pour chaque particule (à l'intérieur de la valeur d'étalement), jusqu'à ce que la dernière particule, puis elle recommencera à 0
1 = Aléatoire complet. La direction angulaire sera choisie au hasard dans la valeur de propagation ","Zufälligkeit des Winkels jedes Teilchens, in dem es sich bewegen wird, innerhalb des Streuwertes
0 = Keine Zufälligkeit. Die Winkelrichtung wird für jedes Partikel (innerhalb des Spread-Werts) bis zum letzten Partikel erhöht und beginnt dann bei 0
1 = Volle Zufälligkeit. Die Winkelrichtung wird zufällig aus dem Spread-Wert ausgewählt.



","Casuale dell'angolo di ogni particella in cui viaggerà, all'interno del valore di diffusione
0 = Nessuna casualità. La direzione angolare aumenterà per ogni particella (entro il valore di spread), fino all'ultima particella, quindi inizierà a 0
1 = Completa casualità. La direzione angolare sarà scelta a caso all'interno del valore di spread ","Aleatoriedad del ángulo de cada partícula en el que viajará, dentro del valor de propagación
0 = Sin aleatoriedad. La dirección angular aumentará para cada partícula (dentro del valor de dispersión), hasta la última partícula, luego comenzará de nuevo en 0
1 = aleatoriedad completa. La dirección angular se elegirá al azar dentro del valor de propagación ","Aleatoriedade do ângulo de cada partícula em que ela viajará, dentro do valor do spread
0 = sem aleatoriedade. A direção angular aumentará para cada partícula (dentro do valor do spread), até a última partícula, então ela começará novamente em 0
1 = aleatoriedade total. A direção angular será escolhida aleatoriamente dentro do valor do spread "
PROP_INIT_VELOCITY,Initial Velocity,Vitesse initiale,Anfangsgeschwindigkeit,Velocità iniziale,Velocidad inicial,Velocidade inicial
TIP_INIT_VELOCITY,The initial velocity of each particle,La vitesse initiale de chaque particule,Die Anfangsgeschwindigkeit jedes Teilchens,La velocità iniziale di ogni particella,La velocidad inicial de cada partícula,A velocidade inicial de cada partícula
PROP_INIT_VELOCITY_RANDOM,Initial Velocity Rand,Vitesse initiale Rand,Anfangsgeschwindigkeit Rand,Iniziale Velocity Rand,Velocity Rand inicial,Rand de velocidade inicial
PROP_LINEAR_ACCEL,Linear Acceleration,Accélération linéaire,Lineare Beschleunigung,Accelerazione lineare,Aceleración lineal,Aceleração Linear
TIP_LINEAR_ACCEL,The acceleration of each particle over time,L'accélération de chaque particule au fil du temps,Die Beschleunigung jedes Teilchens im Laufe der Zeit,L'accelerazione di ogni particella nel tempo,La aceleración de cada partícula en el tiempo,A aceleração de cada partícula ao longo do tempo
PROP_LINEAR_ACCEL_RANDOM,Linear Acceleration Rand,Rand d'accélération linéaire,Lineare Beschleunigung Rand,Rand Accelerazione lineare,Lineal Aceleración Rand,Rand de aceleração linear
TIP_LINEAR_ACCEL_RANDOM,Randomness of each particle's linear acceleration,Caractère aléatoire de l'accélération linéaire de chaque particule,Zufall der linearen Beschleunigung jedes Teilchens,Casualità dell'accelerazione lineare di ogni particella,Aleatoriedad de la aceleración lineal de cada partícula,Aleatoriedade da aceleração linear de cada partícula
PROP_ORBITAL_CURVE,Orbital Velocity,Vitesse Orbitale,Orbitalgeschwindigkeit,Velocità orbitale,Velocidad orbital,Velocidade Orbital
TIP_ORBITAL_CURVE,"The orbital velocity of each particle over time.
Causes the particles to swirl around the emitter","La vitesse orbitale de chaque particule au fil du temps.
Fait tourner les particules autour de l'émetteur ","Die Umlaufgeschwindigkeit jedes Teilchens über die Zeit.
Verursacht, dass die Partikel um den Emitter wirbeln "",La velocità orbitale di ogni particella nel tempo.",,,
"Fa ruotare le particelle attorno all'emettitore ""","La velocidad orbital de cada partícula en el tiempo.
Hace que las partículas giren alrededor del emisor ","A velocidade orbital de cada partícula ao longo do tempo.
Faz com que as partículas girem em torno do emissor ",,,,
